epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,30850.1,1.10937,0.41929,0.00634,0.94744,0.8989,0.95791,0.67629,1.10191,0.4769,0.00776,0.0001236,4.12e-05,0.0001236,4.12e-05,0.0001236,4.12e-05,0.0001236,4.12e-05
62,31353.6,1.11034,0.42006,0.00634,0.94401,0.89966,0.958,0.67661,1.10095,0.47624,0.00775,0.00012066,4.022e-05,0.00012066,4.022e-05,0.00012066,4.022e-05,0.00012066,4.022e-05
63,31856.1,1.10227,0.41583,0.00628,0.94648,0.89834,0.95773,0.6769,1.10088,0.47544,0.00775,0.00011772,3.924e-05,0.00011772,3.924e-05,0.00011772,3.924e-05,0.00011772,3.924e-05
64,32358.1,1.10056,0.41731,0.00629,0.94583,0.89954,0.95742,0.6767,1.10062,0.47598,0.00775,0.00011478,3.826e-05,0.00011478,3.826e-05,0.00011478,3.826e-05,0.00011478,3.826e-05
65,32860.4,1.10764,0.41702,0.00629,0.9467,0.8986,0.95754,0.67736,1.10024,0.47346,0.00775,0.00011184,3.728e-05,0.00011184,3.728e-05,0.00011184,3.728e-05,0.00011184,3.728e-05
66,33362.8,1.10092,0.41943,0.00626,0.94912,0.89873,0.9605,0.677,1.10026,0.47433,0.00775,0.0001089,3.63e-05,0.0001089,3.63e-05,0.0001089,3.63e-05,0.0001089,3.63e-05
67,33865.1,1.09767,0.41561,0.00626,0.94849,0.89894,0.95746,0.67661,1.10019,0.47438,0.00775,0.00010596,3.532e-05,0.00010596,3.532e-05,0.00010596,3.532e-05,0.00010596,3.532e-05
68,34367.7,1.1021,0.418,0.00625,0.94732,0.89886,0.95735,0.67643,1.10038,0.47502,0.00775,0.00010302,3.434e-05,0.00010302,3.434e-05,0.00010302,3.434e-05,0.00010302,3.434e-05
69,34870.4,1.10139,0.41523,0.00627,0.94988,0.89846,0.95747,0.67681,1.10019,0.47438,0.00775,0.00010008,3.336e-05,0.00010008,3.336e-05,0.00010008,3.336e-05,0.00010008,3.336e-05
70,35372.5,1.09851,0.41227,0.00626,0.9489,0.89912,0.96058,0.67699,1.09907,0.47488,0.00774,9.714e-05,3.238e-05,9.714e-05,3.238e-05,9.714e-05,3.238e-05,9.714e-05,3.238e-05
71,35885.2,1.07727,0.38572,0.00629,0.94936,0.89882,0.95753,0.67602,1.10053,0.47512,0.00776,9.42e-05,3.14e-05,9.42e-05,3.14e-05,9.42e-05,3.14e-05,9.42e-05,3.14e-05
